timestamp,temperatura
2026-07-02T15:49:12.012Z,15.61
2026-07-02T15:49:16.918Z,15.61
2026-07-02T15:49:21.927Z,15.61
2026-07-02T15:49:26.958Z,15.62
2026-07-02T15:49:31.926Z,15.61
2026-07-02T15:49:36.985Z,15.61
2026-07-02T15:49:42.006Z,15.6
2026-07-02T15:49:46.912Z,15.63
2026-07-02T15:49:51.930Z,15.63
2026-07-02T15:49:56.890Z,15.63
2026-07-02T15:50:01.926Z,15.63
2026-07-02T15:50:06.987Z,15.63
2026-07-02T15:50:11.919Z,15.62
2026-07-02T15:50:16.924Z,15.62
2026-07-02T15:50:21.894Z,15.62
2026-07-02T15:50:27.079Z,15.62
2026-07-02T15:50:31.878Z,15.64
2026-07-02T15:50:36.894Z,15.65
2026-07-02T15:50:41.861Z,15.62
2026-07-02T15:50:46.919Z,15.63
2026-07-02T15:50:51.949Z,15.64
2026-07-02T15:50:56.953Z,15.64
2026-07-02T15:51:01.870Z,15.64
2026-07-02T15:51:06.898Z,15.64
2026-07-02T15:51:11.916Z,15.65
2026-07-02T15:51:16.924Z,15.64
2026-07-02T15:51:21.845Z,15.65
2026-07-02T15:51:26.866Z,15.65
2026-07-02T15:51:31.872Z,15.65
2026-07-02T15:51:36.891Z,15.66
2026-07-02T15:51:41.910Z,15.67
2026-07-02T15:51:46.824Z,15.65
2026-07-02T15:51:51.865Z,15.67
2026-07-02T15:51:56.871Z,15.67
2026-07-02T15:52:01.876Z,15.66
2026-07-02T15:52:06.895Z,15.67
2026-07-02T15:52:11.814Z,15.68
2026-07-02T15:52:16.838Z,15.68
2026-07-02T15:52:21.844Z,15.68
2026-07-02T15:52:26.801Z,15.68
2026-07-02T15:52:31.890Z,15.69
2026-07-02T15:52:36.804Z,15.7
2026-07-02T15:52:41.815Z,15.71
2026-07-02T15:52:46.837Z,15.7
2026-07-02T15:52:51.864Z,15.71
2026-07-02T15:52:56.876Z,15.71
2026-07-02T15:53:01.791Z,15.73
2026-07-02T15:53:06.803Z,15.74
2026-07-02T15:53:11.817Z,15.73
2026-07-02T15:53:16.837Z,15.71
2026-07-02T15:53:21.872Z,15.71
2026-07-02T15:53:26.783Z,15.72
2026-07-02T15:53:31.801Z,15.73
2026-07-02T15:53:36.768Z,15.74
2026-07-02T15:53:41.816Z,15.73
2026-07-02T15:53:46.839Z,15.74
2026-07-02T15:53:51.762Z,15.73
2026-07-02T15:53:56.779Z,15.73
2026-07-02T15:54:01.791Z,15.72
2026-07-02T15:54:06.817Z,15.75
2026-07-02T15:54:11.726Z,15.75
2026-07-02T15:54:16.858Z,15.76
2026-07-02T15:54:21.766Z,15.75
2026-07-02T15:54:26.754Z,15.76
2026-07-02T15:54:31.714Z,15.75
2026-07-02T15:54:36.708Z,15.78
2026-07-02T15:54:41.729Z,15.78
2026-07-02T15:54:46.756Z,15.78
2026-07-02T15:54:51.771Z,15.79
2026-07-02T15:54:56.749Z,15.79
2026-07-02T15:55:01.697Z,15.81
2026-07-02T15:55:06.727Z,15.8
2026-07-02T15:55:11.681Z,15.79
2026-07-02T15:55:16.749Z,15.79
2026-07-02T15:55:21.766Z,15.8
2026-07-02T15:55:26.681Z,15.81
2026-07-02T15:55:31.704Z,15.82
2026-07-02T15:55:36.818Z,15.84
2026-07-02T15:55:41.736Z,15.85
2026-07-02T15:55:46.756Z,15.85
2026-07-02T15:55:51.666Z,15.85
2026-07-02T15:55:56.703Z,15.84
2026-07-02T15:56:01.702Z,15.86
2026-07-02T15:56:06.722Z,15.84
2026-07-02T15:56:11.739Z,15.85
2026-07-02T15:56:16.661Z,15.87
2026-07-02T15:56:21.683Z,15.86
2026-07-02T15:56:26.631Z,15.88
2026-07-02T15:56:31.714Z,15.88
2026-07-02T15:56:36.642Z,15.88
2026-07-02T15:56:41.665Z,15.88
2026-07-02T15:56:46.630Z,15.9
timestamp,temperatura
2026-07-02T15:56:51.691Z,15.9
2026-07-02T15:56:56.699Z,15.9
2026-07-02T15:57:01.621Z,15.9
2026-07-02T15:57:06.644Z,15.91
2026-07-02T15:57:11.655Z,15.96
2026-07-02T15:57:16.664Z,16.14
2026-07-02T15:57:21.683Z,16.57
2026-07-02T15:57:26.602Z,17.18
2026-07-02T15:57:31.619Z,17.98
2026-07-02T15:57:36.644Z,18.78
2026-07-02T15:57:41.650Z,19.18
2026-07-02T15:57:46.671Z,18.96
2026-07-02T15:57:51.592Z,18.64
2026-07-02T15:57:56.595Z,18.95
2026-07-02T15:58:01.634Z,19.32
2026-07-02T15:58:06.634Z,19.69
2026-07-02T15:58:11.560Z,20
2026-07-02T15:58:16.665Z,20.27
2026-07-02T15:58:21.590Z,20.51
2026-07-02T15:58:26.604Z,20.7
2026-07-02T15:58:31.624Z,20.87
2026-07-02T15:58:36.642Z,21.02
2026-07-02T15:58:41.557Z,21.11
2026-07-02T15:58:46.584Z,21.2
timestamp,temperatura
timestamp,temperatura
